"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate","Stage1","Stage2","Stage3","Stage4","Sector1","Sector2","Prediction","Corret","Error"
"137","603239.SH","浙江仙通",2016-12-30,TRUE,6,17.3218673218672,22.99,8.67,0.0281,0,0,0,0,1,0,11.1732644937529,FALSE,5.17326449375294
"138","603929.SH","亚翔集成",2016-12-30,TRUE,15,21.6154905614517,13.35,3.52,0.038,0,0,0,0,1,0,14.5382837182933,FALSE,-0.461716281706705
"139","002836.SZ","新宏泽",2016-12-29,TRUE,14,38.5282219225583,17.74,4.68,0.0136,0,0,0,0,0,0,15.6853552848783,FALSE,1.68535528487832
"140","002837.SZ","英维克",2016-12-29,TRUE,9,23.8095238095238,22.22,7.02,0.0137,0,0,0,0,0,0,12.7501817775876,FALSE,3.75018177758761
"141","300585.SZ","奥联电子",2016-12-29,TRUE,13,44.4444444444444,20.74,4.93,0.0151,0,0,0,0,0,1,15.9789156034603,FALSE,2.97891560346034
"142","603218.SH","日月股份",2016-12-28,TRUE,5,12.6387176325524,22.99,6.02,0.0396,0,0,0,0,1,0,11.2938481978808,FALSE,6.29384819788083
"143","603886.SH","元祖股份",2016-12-28,TRUE,10,36.0753081594611,22.98,4.2,0.0405,0,0,0,0,1,0,15.6035321323265,FALSE,5.60353213232651
"144","002833.SZ","弘亚数控",2016-12-28,TRUE,12,29.3506950554283,15.56,4.9,0.026,0,0,0,0,0,0,14.4769008728795,FALSE,2.47690087287955
"145","002835.SZ","同为股份",2016-12-28,TRUE,10,27.2589601211511,22.98,5.61,0.0244,0,0,0,0,0,0,13.7900263385189,FALSE,3.79002633851888
"146","300582.SZ","英飞特",2016-12-28,TRUE,9,25.8661232168052,22.98,6.39,0.0291,0,0,0,0,0,1,13.1640918978574,FALSE,4.16409189785739
"147","603298.SH","杭叉集团",2016-12-27,TRUE,6,22.3206696716033,22.97,4.89,0.0575,0,0,0,0,1,0,13.3532956900791,FALSE,7.35329569007914
"148","600996.SH","贵广网络",2016-12-26,TRUE,6,26.6836086404069,22.99,3.58,0.0973,0,0,0,0,1,0,14.6301493784397,FALSE,8.6301493784397
"149","603058.SH","永吉股份",2016-12-23,TRUE,14,32.4307692307689,22.96,1.73,0.0409,0,0,0,0,1,0,18.9034787069674,FALSE,4.90347870696743
"150","002832.SZ","比音勒芬",2016-12-23,TRUE,6,14.7282968853545,22.99,11.78,0.0243,0,0,0,0,0,0,10.0212546394366,FALSE,4.02125463943662
"151","300579.SZ","数字认证",2016-12-23,TRUE,12,21.2765957446809,22.99,5.47,0.0151,0,0,0,0,0,1,13.1988442722699,FALSE,1.19884427226989
"152","603577.SH","汇金通",2016-12-22,TRUE,10,20.179806362379,22.98,6.83,0.0298,0,0,0,0,1,0,12.2429607444321,TRUE,2.24296074443211
"153","603416.SH","信捷电气",2016-12-21,TRUE,9,38.6153846153853,22.98,7.31,0.0272,0,0,0,0,1,0,13.9588583725919,FALSE,4.95885837259186
"154","300577.SZ","开润股份",2016-12-21,TRUE,10,17.5473684210527,22.99,7.78,0.014,0,0,0,0,0,1,11.6071218346222,FALSE,1.60712183462225
"155","603823.SH","百合花",2016-12-20,TRUE,11,34.2596117244003,22.08,4.89,0.0314,0,0,0,0,1,0,14.9467747731571,FALSE,3.94677477315714
"156","300575.SZ","中旗股份",2016-12-20,TRUE,8,34.6226415094339,18.12,11.83,0.0147,0,0,0,0,0,1,12.2077696656821,FALSE,4.20776966568206
"157","300576.SZ","容大感光",2016-12-20,TRUE,15,23.8095238095238,22.99,4.5,0.015,0,0,0,0,0,1,14.1974715191231,FALSE,-0.80252848087691
"158","300581.SZ","晨曦航空",2016-12-20,TRUE,13,43.4615384615387,22.99,10.28,0.0123,0,0,0,0,0,1,13.3159704039022,TRUE,0.315970403902165
