证券代码	证券名称	"所属申万行业
[行业级别]  一级行业"	"所属申万行业代码
[行业级别]  一级行业"
600000.SH	浦发银行	银行	S48
600004.SH	白云机场	交通运输	S42
600006.SH	东风汽车	汽车	S28
600007.SH	中国国贸	房地产	S43
600008.SH	首创股份	公用事业	S41
600009.SH	上海机场	交通运输	S42
600010.SH	包钢股份	钢铁	S23
600011.SH	华能国际	公用事业	S41
600012.SH	皖通高速	交通运输	S42
600015.SH	华夏银行	银行	S48
600016.SH	民生银行	银行	S48
600017.SH	日照港	交通运输	S42
600018.SH	上港集团	交通运输	S42
600019.SH	宝钢股份	钢铁	S23
600020.SH	中原高速	交通运输	S42
600021.SH	上海电力	公用事业	S41
600022.SH	山东钢铁	钢铁	S23
600023.SH	浙能电力	公用事业	S41
600026.SH	中远海能	交通运输	S42
600027.SH	华电国际	公用事业	S41
600028.SH	中国石化	化工	S22
600029.SH	南方航空	交通运输	S42
600030.SH	中信证券	非银金融	S49
600031.SH	三一重工	机械设备	S64
600033.SH	福建高速	交通运输	S42
600035.SH	楚天高速	交通运输	S42
600036.SH	招商银行	银行	S48
600037.SH	歌华有线	传媒	S72
600038.SH	中直股份	国防军工	S65
600039.SH	四川路桥	建筑装饰	S62
600048.SH	保利地产	房地产	S43
600050.SH	中国联通	通信	S73
600051.SH	宁波联合	综合	S51
600052.SH	浙江广厦	房地产	S43
600053.SH	九鼎投资	综合	S51
600054.SH	黄山旅游	休闲服务	S46
600055.SH	万东医疗	医药生物	S37
600056.SH	中国医药	医药生物	S37
600057.SH	象屿股份	交通运输	S42
600058.SH	五矿发展	商业贸易	S45
600059.SH	古越龙山	食品饮料	S34
600060.SH	海信电器	家用电器	S33
600061.SH	国投安信	非银金融	S49
600062.SH	华润双鹤	医药生物	S37
600063.SH	皖维高新	化工	S22
600064.SH	南京高科	房地产	S43
600066.SH	宇通客车	汽车	S28
600067.SH	冠城大通	房地产	S43
600068.SH	葛洲坝	建筑装饰	S62
600069.SH	银鸽投资	轻工制造	S36
600070.SH	浙江富润	纺织服装	S35
600071.SH	凤凰光学	电子	S27
600072.SH	中船科技	国防军工	S65
600073.SH	上海梅林	食品饮料	S34
600074.SH	保千里	电子	S27
600075.SH	新疆天业	化工	S22
600076.SH	康欣新材	有色金属	S24
600077.SH	宋都股份	交通运输	S42
600078.SH	澄星股份	化工	S22
600079.SH	人福医药	医药生物	S37
600080.SH	金花股份	医药生物	S37
600081.SH	东风科技	汽车	S28
600082.SH	海泰发展	商业贸易	S45
600083.SH	博信股份	综合	S51
600084.SH	中葡股份	食品饮料	S34
600085.SH	同仁堂	医药生物	S37
600086.SH	东方金钰	轻工制造	S36
600088.SH	中视传媒	传媒	S72
600089.SH	特变电工	电气设备	S63
600090.SH	同济堂	医药生物	S37
600091.SH	ST明科	化工	S22
600093.SH	禾嘉股份	汽车	S28
600094.SH	大名城	房地产	S43
600095.SH	哈高科	房地产	S43
600096.SH	云天化	化工	S22
600097.SH	开创国际	农林牧渔	S11
600098.SH	广州发展	公用事业	S41
600099.SH	林海股份	汽车	S28
600100.SH	同方股份	计算机	S71
600101.SH	明星电力	公用事业	S41
600103.SH	青山纸业	轻工制造	S36
600104.SH	上汽集团	汽车	S28
600105.SH	永鼎股份	通信	S73
600106.SH	重庆路桥	交通运输	S42
600107.SH	美尔雅	纺织服装	S35
600108.SH	亚盛集团	农林牧渔	S11
600109.SH	国金证券	非银金融	S49
600110.SH	诺德股份	电气设备	S63
600111.SH	北方稀土	有色金属	S24
600112.SH	天成控股	电气设备	S63
600113.SH	浙江东日	商业贸易	S45
600114.SH	东睦股份	有色金属	S24
600115.SH	东方航空	交通运输	S42
600116.SH	三峡水利	公用事业	S41
600117.SH	西宁特钢	钢铁	S23
600118.SH	中国卫星	国防军工	S65
600119.SH	长江投资	交通运输	S42
600120.SH	浙江东方	商业贸易	S45
600121.SH	郑州煤电	采掘	S21
600122.SH	宏图高科	商业贸易	S45
600123.SH	兰花科创	采掘	S21
600125.SH	铁龙物流	交通运输	S42
600126.SH	杭钢股份	钢铁	S23
600127.SH	金健米业	农林牧渔	S11
600128.SH	弘业股份	商业贸易	S45
600129.SH	太极集团	医药生物	S37
600130.SH	波导股份	通信	S73
600131.SH	岷江水电	公用事业	S41
600132.SH	重庆啤酒	食品饮料	S34
600133.SH	东湖高新	综合	S51
600135.SH	乐凯胶片	轻工制造	S36
600136.SH	当代明诚	综合	S51
600137.SH	浪莎股份	纺织服装	S35
600138.SH	中青旅	休闲服务	S46
600139.SH	西部资源	有色金属	S24
600141.SH	兴发集团	化工	S22
600143.SH	金发科技	化工	S22
600145.SH	*ST新亿	建筑材料	S61
600146.SH	商赢环球	有色金属	S24
600148.SH	长春一东	汽车	S28
600149.SH	廊坊发展	房地产	S43
600150.SH	中国船舶	国防军工	S65
600151.SH	航天机电	电气设备	S63
600152.SH	维科精华	纺织服装	S35
600153.SH	建发股份	交通运输	S42
600155.SH	宝硕股份	非银金融	S49
600156.SH	华升股份	纺织服装	S35
600157.SH	永泰能源	采掘	S21
600158.SH	中体产业	房地产	S43
600159.SH	大龙地产	房地产	S43
600160.SH	巨化股份	化工	S22
600161.SH	天坛生物	医药生物	S37
600162.SH	香江控股	房地产	S43
600163.SH	中闽能源	公用事业	S41
600165.SH	新日恒力	机械设备	S64
600166.SH	福田汽车	汽车	S28
600167.SH	联美控股	公用事业	S41
600168.SH	武汉控股	公用事业	S41
600169.SH	太原重工	机械设备	S64
600170.SH	上海建工	建筑装饰	S62
600171.SH	上海贝岭	电子	S27
600172.SH	黄河旋风	机械设备	S64
600173.SH	卧龙地产	房地产	S43
600175.SH	美都能源	采掘	S21
600176.SH	中国巨石	化工	S22
600177.SH	雅戈尔	纺织服装	S35
600178.SH	东安动力	汽车	S28
600179.SH	安通控股	交通运输	S42
600180.SH	瑞茂通	商业贸易	S45
600182.SH	S佳通	化工	S22
600183.SH	生益科技	电子	S27
600184.SH	光电股份	国防军工	S65
600185.SH	格力地产	房地产	S43
600186.SH	莲花健康	食品饮料	S34
600187.SH	国中水务	公用事业	S41
600188.SH	兖州煤业	采掘	S21
600189.SH	吉林森工	农林牧渔	S11
600190.SH	锦州港	交通运输	S42
600191.SH	华资实业	农林牧渔	S11
600192.SH	长城电工	电气设备	S63
600193.SH	创兴资源	商业贸易	S45
600195.SH	中牧股份	农林牧渔	S11
600196.SH	复星医药	医药生物	S37
600197.SH	伊力特	食品饮料	S34
600198.SH	大唐电信	通信	S73
600199.SH	金种子酒	食品饮料	S34
600200.SH	江苏吴中	综合	S51
600201.SH	生物股份	农林牧渔	S11
600202.SH	哈空调	电气设备	S63
600203.SH	福日电子	电子	S27
600206.SH	有研新材	电子	S27
600207.SH	安彩高科	综合	S51
600208.SH	新湖中宝	房地产	S43
600209.SH	罗顿发展	建筑装饰	S62
600210.SH	紫江企业	轻工制造	S36
600211.SH	西藏药业	医药生物	S37
600212.SH	江泉实业	综合	S51
600213.SH	亚星客车	汽车	S28
600215.SH	长春经开	房地产	S43
600216.SH	浙江医药	医药生物	S37
600217.SH	中再资环	公用事业	S41
600218.SH	全柴动力	机械设备	S64
600219.SH	南山铝业	有色金属	S24
600220.SH	江苏阳光	纺织服装	S35
600221.SH	海南航空	交通运输	S42
600222.SH	太龙药业	医药生物	S37
600223.SH	鲁商置业	房地产	S43
600225.SH	*ST松江	房地产	S43
600226.SH	升华拜克	农林牧渔	S11
600227.SH	赤天化	化工	S22
600228.SH	*ST昌九	化工	S22
600229.SH	城市传媒	传媒	S72
600230.SH	沧州大化	化工	S22
600231.SH	凌钢股份	钢铁	S23
600232.SH	金鹰股份	纺织服装	S35
600233.SH	圆通速递	交通运输	S42
600234.SH	ST山水	综合	S51
600235.SH	民丰特纸	轻工制造	S36
600236.SH	桂冠电力	公用事业	S41
600237.SH	铜峰电子	电子	S27
600238.SH	海南椰岛	食品饮料	S34
600239.SH	云南城投	房地产	S43
600240.SH	华业资本	房地产	S43
600241.SH	时代万恒	商业贸易	S45
600242.SH	中昌数据	计算机	S71
600243.SH	青海华鼎	机械设备	S64
600246.SH	万通地产	房地产	S43
600247.SH	ST成城	商业贸易	S45
600248.SH	延长化建	建筑装饰	S62
600249.SH	两面针	化工	S22
600250.SH	南纺股份	商业贸易	S45
600251.SH	冠农股份	化工	S22
600252.SH	中恒集团	医药生物	S37
600255.SH	鑫科材料	有色金属	S24
600256.SH	广汇能源	化工	S22
600257.SH	大湖股份	农林牧渔	S11
600258.SH	首旅酒店	休闲服务	S46
600259.SH	广晟有色	有色金属	S24
600260.SH	凯乐科技	通信	S73
600261.SH	阳光照明	电子	S27
600262.SH	北方股份	机械设备	S64
600265.SH	ST景谷	农林牧渔	S11
600266.SH	北京城建	房地产	S43
600267.SH	海正药业	医药生物	S37
600268.SH	国电南自	电气设备	S63
600269.SH	赣粤高速	交通运输	S42
600270.SH	外运发展	交通运输	S42
600271.SH	航天信息	计算机	S71
600272.SH	开开实业	纺织服装	S35
600273.SH	嘉化能源	化工	S22
600275.SH	武昌鱼	综合	S51
600276.SH	恒瑞医药	医药生物	S37
600277.SH	亿利洁能	综合	S51
600278.SH	东方创业	商业贸易	S45
600279.SH	重庆港九	交通运输	S42
600280.SH	中央商场	商业贸易	S45
600281.SH	太化股份	化工	S22
600282.SH	南钢股份	钢铁	S23
600283.SH	钱江水利	公用事业	S41
600284.SH	浦东建设	建筑装饰	S62
600285.SH	羚锐制药	医药生物	S37
600287.SH	江苏舜天	商业贸易	S45
600288.SH	大恒科技	电子	S27
600289.SH	亿阳信通	通信	S73
600290.SH	华仪电气	电气设备	S63
600291.SH	西水股份	非银金融	S49
600292.SH	远达环保	公用事业	S41
600293.SH	三峡新材	建筑材料	S61
600295.SH	鄂尔多斯	采掘	S21
600297.SH	广汇汽车	汽车	S28
600298.SH	安琪酵母	农林牧渔	S11
600299.SH	安迪苏	医药生物	S37
600300.SH	维维股份	食品饮料	S34
600301.SH	ST南化	化工	S22
600302.SH	标准股份	机械设备	S64
600303.SH	曙光股份	汽车	S28
600305.SH	恒顺醋业	食品饮料	S34
600306.SH	*ST商城	商业贸易	S45
600307.SH	酒钢宏兴	钢铁	S23
600308.SH	华泰股份	轻工制造	S36
600309.SH	万华化学	化工	S22
600310.SH	桂东电力	公用事业	S41
600311.SH	荣华实业	有色金属	S24
600312.SH	平高电气	电气设备	S63
600313.SH	农发种业	农林牧渔	S11
600315.SH	上海家化	化工	S22
600316.SH	洪都航空	国防军工	S65
600317.SH	营口港	交通运输	S42
600318.SH	新力金融	非银金融	S49
600319.SH	亚星化学	化工	S22
600320.SH	振华重工	机械设备	S64
600321.SH	国栋建设	建筑材料	S61
600322.SH	天房发展	房地产	S43
600323.SH	瀚蓝环境	公用事业	S41
600325.SH	华发股份	房地产	S43
600326.SH	西藏天路	建筑材料	S61
600327.SH	大东方	商业贸易	S45
600328.SH	兰太实业	化工	S22
600329.SH	中新药业	医药生物	S37
600330.SH	天通股份	有色金属	S24
600331.SH	宏达股份	有色金属	S24
600332.SH	白云山	医药生物	S37
600333.SH	长春燃气	公用事业	S41
600335.SH	国机汽车	汽车	S28
600336.SH	澳柯玛	家用电器	S33
600337.SH	美克家居	轻工制造	S36
600338.SH	西藏珠峰	有色金属	S24
600339.SH	*ST油工	建筑装饰	S62
