证券代码	证券名称	首发市盈率（摊薄）	"首发每股净资产
[单位]元"	"现金申购中签率
[单位]%"	"市值配售发行中签率
[单位]%"
600000.SH	浦发银行	26.3000	3.2300	1.4155	--
600004.SH	白云机场	12.2500	3.4800	--	0.4273
600006.SH	东风汽车	14.3300	2.3000	1.6503	--
600007.SH	中国国贸	19.8000	2.4800	0.9225	--
600008.SH	首创股份	23.0300	3.4500	0.5971	--
600009.SH	上海机场	14.9000	3.2200	1.4106	--
600010.SH	包钢股份	18.5000	2.7300	0.7283	--
600011.SH	华能国际	16.9000	--	0.3780	--
600012.SH	皖通高速	12.2200	2.1000	--	0.3057
600015.SH	华夏银行	19.8600	2.7000	0.6367	0.6367
600016.SH	民生银行	69.4100	3.3700	1.0288	--
600017.SH	日照港	19.5800	3.3600	0.5246	--
600018.SH	上港集团	28.6000	1.0350	--	--
600019.SH	宝钢股份	18.6600	1.9400	3.8436	--
600020.SH	中原高速	15.9600	3.4500	--	0.3064
600021.SH	上海电力	18.5200	3.8100	--	0.2756
600022.SH	山东钢铁	7.6600	2.8100	0.2407	0.2407
600023.SH	浙能电力	--	3.3200	--	--
600026.SH	中远海能	20.0000	--	0.2048	--
600027.SH	华电国际	14.8000	1.9000	--	0.3783
600028.SH	中国石化	20.1000	--	1.1428	--
600029.SH	南方航空	18.0000	--	--	1.0517
600030.SH	中信证券	15.0000	2.1100	0.2820	0.2820
600031.SH	三一重工	13.4100	5.7100	--	0.0769
600033.SH	福建高速	26.4300	3.1100	2.5280	--
600035.SH	楚天高速	16.6700	2.1300	0.2499	0.2499
600036.SH	招商银行	21.4700	--	1.2479	--
600037.SH	歌华有线	38.6700	5.8000	0.4710	--
600038.SH	中直股份	42.1100	4.1200	0.2957	--
600039.SH	四川路桥	14.9300	3.7900	--	0.1228
600048.SH	保利地产	18.8500	5.4000	1.2080	--
600050.SH	中国联通	20.2300	1.8500	--	2.7504
600051.SH	宁波联合	13.0000	--	1.5325	--
600052.SH	浙江广厦	15.0000	2.7900	0.9475	--
600053.SH	九鼎投资	14.0000	3.1600	0.9724	--
600054.SH	黄山旅游	14.0000	2.4100	0.4316	--
600055.SH	万东医疗	14.0000	3.5300	0.5063	--
600056.SH	中国医药	15.0000	2.7000	0.8872	--
600057.SH	象屿股份	14.0000	2.5300	2.9170	--
600058.SH	五矿发展	15.0000	3.2300	1.1134	--
600059.SH	古越龙山	13.6000	3.9800	0.5158	--
600060.SH	海信电器	14.9500	2.5400	1.6910	--
600061.SH	国投安信	15.0000	2.6900	0.8017	--
600062.SH	华润双鹤	14.0000	2.8900	1.0939	--
600063.SH	皖维高新	15.0000	3.0700	1.2851	--
600064.SH	南京高科	14.0000	3.7700	2.7230	0.0000
600066.SH	宇通客车	15.0000	5.5800	2.7560	--
600067.SH	冠城大通	--	--	--	--
600068.SH	葛洲坝	14.2000	3.1800	1.2075	--
600069.SH	银鸽投资	14.0000	2.4200	1.1202	--
600070.SH	浙江富润	13.5000	2.2400	0.2957	--
600071.SH	凤凰光学	13.9000	3.0300	1.2068	--
600072.SH	中船科技	15.0000	3.2200	0.3808	--
600073.SH	上海梅林	18.0000	2.2800	1.5969	--
600074.SH	保千里	15.0000	3.1300	0.4944	--
600075.SH	新疆天业	14.5000	3.5300	2.4313	--
600076.SH	康欣新材	14.0000	3.0600	0.8430	--
600077.SH	宋都股份	14.0000	1.9700	3.4650	--
600078.SH	澄星股份	14.5000	3.0800	0.6546	--
600079.SH	人福医药	15.0000	2.6800	1.1705	--
600080.SH	金花股份	14.0000	3.0800	0.8400	--
600081.SH	东风科技	16.5000	2.9700	1.7106	--
600082.SH	海泰发展	14.8000	4.0200	0.5700	--
600083.SH	博信股份	15.0000	4.0100	2.7666	--
600084.SH	中葡股份	15.5000	3.6300	0.7665	--
600085.SH	同仁堂	15.0000	2.8600	0.7966	--
600086.SH	东方金钰	14.9800	--	1.7068	--
600088.SH	中视传媒	15.0000	3.1400	1.2786	--
