"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate"
"137","603239.SH","浙江仙通","2016-12-30",TRUE,6,17.3218673218672,22.99,8.67,0.0281
"138","603929.SH","亚翔集成","2016-12-30",TRUE,15,21.6154905614517,13.35,3.52,0.038
"139","002836.SZ","新宏泽","2016-12-29",TRUE,14,38.5282219225583,17.74,4.68,0.0136
"140","002837.SZ","英维克","2016-12-29",TRUE,9,23.8095238095238,22.22,7.02,0.0137
"141","300585.SZ","奥联电子","2016-12-29",TRUE,13,44.4444444444444,20.74,4.93,0.0151
"142","603218.SH","日月股份","2016-12-28",TRUE,5,12.6387176325524,22.99,6.02,0.0396
"143","603886.SH","元祖股份","2016-12-28",TRUE,10,36.0753081594611,22.98,4.2,0.0405
"144","002833.SZ","弘亚数控","2016-12-28",TRUE,12,29.3506950554283,15.56,4.9,0.026
"145","002835.SZ","同为股份","2016-12-28",TRUE,10,27.2589601211511,22.98,5.61,0.0244
"146","300582.SZ","英飞特","2016-12-28",TRUE,9,25.8661232168052,22.98,6.39,0.0291
"147","603298.SH","杭叉集团","2016-12-27",TRUE,6,22.3206696716033,22.97,4.89,0.0575
"148","600996.SH","贵广网络","2016-12-26",TRUE,6,26.6836086404069,22.99,3.58,0.0973
"149","603058.SH","永吉股份","2016-12-23",TRUE,14,32.4307692307689,22.96,1.73,0.0409
"150","002832.SZ","比音勒芬","2016-12-23",TRUE,6,14.7282968853545,22.99,11.78,0.0243
"151","300579.SZ","数字认证","2016-12-23",TRUE,12,21.2765957446809,22.99,5.47,0.0151
"152","603577.SH","汇金通","2016-12-22",TRUE,10,20.179806362379,22.98,6.83,0.0298
"153","603416.SH","信捷电气","2016-12-21",TRUE,9,38.6153846153853,22.98,7.31,0.0272
"154","300577.SZ","开润股份","2016-12-21",TRUE,10,17.5473684210527,22.99,7.78,0.014
"155","603823.SH","百合花","2016-12-20",TRUE,11,34.2596117244003,22.08,4.89,0.0314
"156","300575.SZ","中旗股份","2016-12-20",TRUE,8,34.6226415094339,18.12,11.83,0.0147
"157","300576.SZ","容大感光","2016-12-20",TRUE,15,23.8095238095238,22.99,4.5,0.015
"158","300581.SZ","晨曦航空","2016-12-20",TRUE,13,43.4615384615387,22.99,10.28,0.0123
"159","603878.SH","武进不锈","2016-12-19",TRUE,7,18.1622010429779,22.98,9.47,0.0371
"160","603098.SH","森特股份","2016-12-16",TRUE,8,23.6484697158857,22.98,3.67,0.0483
"161","002831.SZ","裕同科技","2016-12-16",TRUE,5,13.2448358050848,22.99,6.03,0.0329
"162","603389.SH","亚振家居","2016-12-15",TRUE,9,33.7355967712121,22.97,3.7,0.0392
"163","603585.SH","苏利股份","2016-12-14",TRUE,8,30.0120048019208,22.99,12.86,0.0274
"164","603708.SH","家家悦","2016-12-13",TRUE,8,25.6410256410256,21.65,6.26,0.0511
"165","002829.SZ","星网宇达","2016-12-13",TRUE,12,23.1707317073171,22.99,8.36,0.0134
"166","002830.SZ","名雕股份","2016-12-13",TRUE,11,24.8805970149257,22.96,7.91,0.0126
"167","300571.SZ","平治信息","2016-12-13",TRUE,20,43.4782608695652,22.97,5.67,0.0117
"168","603928.SH","兴业股份","2016-12-12",TRUE,9,21.8987616771668,19.06,4.92,0.0369
"169","603036.SH","如通股份","2016-12-09",TRUE,11,27.7814207650272,22.95,4.61,0.037
"170","002826.SZ","易明医药","2016-12-09",TRUE,14,35.7476635514023,22.98,2.77,0.0305
"171","002827.SZ","高争民爆","2016-12-09",TRUE,11,23.3858668022371,22.97,3.69,0.0303
"172","603990.SH","麦迪科技","2016-12-08",TRUE,15,39.2156862745098,22.99,4.48,0.0166
"173","002828.SZ","贝肯能源","2016-12-08",TRUE,11,32.530254246697,22.97,6.71,0.0251
"174","300573.SZ","兴齐眼药","2016-12-08",TRUE,21,38.7296669248644,22.97,6.01,0.0151
"175","603033.SH","三维股份","2016-12-07",TRUE,10,23.3948263423686,18.09,11.83,0.0291
"176","600909.SH","华安证券","2016-12-06",TRUE,6,23.7984037220703,12.44,3.18,0.2695
"177","300570.SZ","太辰光","2016-12-06",TRUE,10,47.7845923709799,22.99,8.11,0.0308
"178","300572.SZ","安车检测","2016-12-06",TRUE,14,30.5087847730598,22.98,6.84,0.0142
"179","603559.SH","中通国脉","2016-12-02",TRUE,16,84.6153846153833,22.98,5.48,0.0347
"180","603660.SH","苏州科达","2016-12-01",TRUE,14,49.0196078431373,17.55,3.93,0.0341
"181","300568.SZ","星源材质","2016-12-01",TRUE,12,47.8087649402383,22.99,9.74,0.028
"182","603319.SH","湘油泵","2016-11-30",TRUE,15,27.0563060050824,22.98,6.68,0.028
"183","603323.SH","吴江银行","2016-11-29",TRUE,8,14.4220819536424,12.62,6.79,0.0671
"184","002822.SZ","中装建设","2016-11-29",TRUE,11,26.2091137824991,21.35,5.91,0.0391
"185","002825.SZ","纳尔股份","2016-11-29",TRUE,16,30.6899091578689,18.62,5.16,0.0237
"186","603819.SH","神力股份","2016-11-25",TRUE,15,20.8362272537854,22.98,5.76,0.036
"187","300569.SZ","天能重工","2016-11-25",TRUE,10,23.3789544536682,20.08,17.23,0.0261
"188","603336.SH","宏辉果蔬","2016-11-24",TRUE,14,53.7903225806456,20.68,5.31,0.0336
"189","002823.SZ","凯中精密","2016-11-24",TRUE,12,37.1134020618563,22.97,6.28,0.0278
"190","603900.SH","通灵珠宝","2016-11-23",TRUE,10,29.0625717017211,19.52,7.95,0.0433
"191","603727.SH","博迈科","2016-11-22",TRUE,9,24.825544512582,22.99,9.62,0.0424
"192","300565.SZ","科信技术","2016-11-22",TRUE,14,33.8896890621029,22.98,4.31,0.0335
"193","300567.SZ","精测电子","2016-11-22",TRUE,14,30.7692307692308,22.99,7.92,0.016
"194","603987.SH","康德莱","2016-11-21",TRUE,14,43.8333333333329,22.99,5.16,0.0415
"195","603858.SH","步长制药","2016-11-18",TRUE,7,19.8871730582937,22.99,16.76,0.0546
"196","002820.SZ","桂发祥","2016-11-18",TRUE,11,21.1920529801325,22.99,7.31,0.0268
"197","002821.SZ","凯莱英","2016-11-18",TRUE,13,27.2184523809526,22.95,15.39,0.0212
"198","603633.SH","徕木股份","2016-11-17",TRUE,18,29.0668469860899,22.98,5.33,0.0313
"199","300561.SZ","汇金科技","2016-11-17",TRUE,15,38.8888888888885,22.99,10.18,0.0142
"200","601229.SH","上海银行","2016-11-16",TRUE,2,11.8022482157563,8.26,17.74,0.2301
"201","300562.SZ","乐心医疗","2016-11-16",TRUE,18,31.4893617021274,22.99,7.82,0.0142
"202","300566.SZ","激智科技","2016-11-15",TRUE,14,34.3103448275863,22.98,6.39,0.0166
"203","300563.SZ","神宇股份","2016-11-14",TRUE,20,35.7142857142857,22.99,4.85,0.0165
"204","603977.SH","国泰集团","2016-11-11",TRUE,16,61.2249418540275,14.81,4.26,0.0447
"205","002819.SZ","东方中科","2016-11-11",TRUE,21,30.8043478260865,22.95,3.57,0.0272
"206","603556.SH","海兴电力","2016-11-10",TRUE,7,30.4019282131462,21.32,10.4,0.0579
"207","603060.SH","国检集团","2016-11-09",TRUE,14,34.3750000000001,22.97,3.89,0.0432
"208","002818.SZ","富森美","2016-11-09",TRUE,11,25.8443465491922,22.99,8.05,0.0378
"209","603203.SH","快克股份","2016-11-08",TRUE,15,28.3915565979507,21.04,6.6,0.03
"210","601882.SH","海天精工","2016-11-07",TRUE,29,37.1847841572879,22.98,1.98,0.0496
"211","300558.SZ","贝达药业","2016-11-07",TRUE,15,86.0621326616285,22.99,2.75,0.0415
